"","genus","OGT"
"391","Moritella","12.0641349301547"
"392","Frigoribacterium","17.029258666311"
"393","Haloferula","27.9045423355417"
"394","Desulforhopalus","25.6978323542255"
"395","Ferrimonas","31.1874337776065"
"396","Neptunomonas","18.9584482462085"
"397","Hymenobacter","16.9320859852974"
"398","Rhodothermus","67.6605424038145"
"399","Aliivibrio","19.8158339585256"
"400","Dictyoglomus","74.4017090325767"
"401","Paraglaciecola","22.2377112915015"
"402","Pseudorhodobacter","22.7956906635449"
"403","Nesterenkonia","27.6985855151873"
"404","Gelidibacter","17.3246433928092"
"405","Actinophytocola","27.1758349612139"
"406","Solitalea","25.9867196293213"
"407","Methylacidiphilum","56.1344197730013"
"408","Persephonella","69.6687185716925"
"409","Sulfurimonas","22.8345889570682"
"410","Desulfosporosinus","31.6367990623482"
"411","Thiobacillus","29.2491759059092"
"412","Teredinibacter","32.4393976227656"
"413","Arcticibacter","20.3130463807352"
"414","Dehalococcoides","29.7662811533559"
"415","Microterricola","20.5998117494511"
"416","Salinivibrio","32.7787276508257"
"417","Klebsiella","34.4127231588216"
"418","Microcella","34.1272745775492"
"419","Thermomonospora","51.2030924445383"
"420","Erysipelothrix","31.2709810822564"
"421","Acidocella","25.6753600414736"
"422","Desulfacinum","58.5674810952056"
"423","Acidiphilium","28.6088857543683"
"424","Desulfomicrobium","33.8341833239503"
"425","Psychroserpens","16.7176097957337"
"426","Thioclava","32.9815720400056"
"427","Formosa","22.761284436184"
"428","Shimia","29.4770821147494"
"429","Alicyclobacillus_G","50.1819492779476"
"430","Photorhabdus","28.9578870645242"
"431","Pseudomaricurvus","29.7689824527409"
"432","Arenicella","27.0104228902225"
"433","Kluyvera","31.5078600641728"
"434","Thermotoga","77.4864422869506"
"435","Hydrogenobacter","73.5920685301236"
"436","Lebetimonas","53.2324896853826"
"437","Sulfurihydrogenibium","65.7611197906738"
"438","Caloramator","57.7938433980606"
"439","Filimonas","29.201971513968"
"440","Geomonas","31.5299553091755"
"441","Alkalibacterium","31.2447458494745"
"442","Aidingimonas","33.7987106279287"
"443","Sporolactobacillus","34.2969338909481"
"444","Niastella","32.4997226020489"
"445","Marinospirillum","31.9766321469723"
"446","Proteus","34.5664031780905"
"447","Afipia","27.4993623249431"
"448","Desulfovibrio","33.8016729628413"
"449","Chitinibacter","30.2557478882696"
"450","Microbacterium_A","27.1921297719698"
"451","Escherichia","35.2115832667259"
"452","Aurantimonas","27.319191670944"
"453","Brenneria","27.047127412966"
"454","Reichenbachiella","28.4979052574608"
"455","Coprothermobacter","58.1979605959696"
"456","Pseudodesulfovibrio","31.1382184797245"
"457","Paraburkholderia","28.7783064014017"
"458","Flammeovirga","27.3095335481652"
"459","Poseidonocella","27.1154814813984"
