,accession,domain,phylum,class,order,family,genus,species,OGT,selected
1482,RS_GCF_000025945.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfotalea,desulfotalea psychrophila,8.666666666666666,True
1483,RS_GCF_000069785.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,cupriavidus taiwanensis,28.9,True
1484,RS_GCF_000092505.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,leuconostoc kimchii,9.5,True
1485,RS_GCF_000146675.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,prevotella marshii,32.5,False
1486,RS_GCF_000190755.2,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter_A,methylobacter_a tundripaludum,23.0,True
1487,RS_GCF_000193495.2,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,acetobacter aceti,25.6666666666667,True
1488,RS_GCF_000204255.1,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,chlamydophila psittaci,38.0,False
1489,RS_GCF_000215955.2,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Salinisphaeraceae,Salinisphaera,salinisphaera shabanensis,37.833333333333336,False
1490,RS_GCF_000215975.1,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,thermodesulfobacterium geofontis,83.0,True
1491,RS_GCF_000227725.1,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiorhodospira,thiorhodospira sibirica,26.75,True
1492,RS_GCF_000230695.2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,rhodanobacter denitrificans,29.0,True
1493,RS_GCF_000252125.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,flavobacterium frigoris_a,15.0,True
1494,RS_GCF_000258175.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Saccharomonospora,saccharomonospora xinjiangensis,32.5,True
1495,RS_GCF_000260135.1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,thiothrix nivea,27.5,False
1496,RS_GCF_000284415.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pararhodospirillum,pararhodospirillum photometricum,26.0,True
1497,RS_GCF_000297025.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,lactobacillus pasteurii,39.0,False
1498,RS_GCF_000308555.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,nocardia cyriacigeorgica,29.5,False
1499,RS_GCF_000308615.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,nocardia jiangxiensis,27.0,False
1500,RS_GCF_000315015.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,paraglaciecola mesophila,24.0,True
1501,RS_GCF_000341185.1,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis_A,nocardiopsis_a chromatogenes,38.5,False
1502,RS_GCF_000350525.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,leucobacter salsicius,28.125,False
1503,RS_GCF_000355905.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,psychroflexus gondwanensis,23.5,False
1504,RS_GCF_000374045.1,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,segetibacter koreensis,22.5,True
1505,RS_GCF_000379445.1,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Fangia,fangia hongkongensis,31.5,True
1506,RS_GCF_000400485.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,agrococcus pavilionensis,18.0,True
1507,RS_GCF_000413855.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,acinetobacter gyllenbergii,30.5,False
1508,RS_GCF_000420385.1,Bacteria,Campylobacterota,Desulfurellia,Desulfurellales,Hippeaceae,Hippea,hippea alviniae,61.66666666666666,True
1509,RS_GCF_000420745.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,pseudorhodobacter ferrugineus,26.0,True
1510,RS_GCF_000421165.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,marinobacter daepoensis,33.5,False
1511,RS_GCF_000421605.1,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,thermodesulfobacterium thermophilum,65.0,True
1512,RS_GCF_000421745.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,nesterenkonia alba,42.0,True
1513,RS_GCF_000422405.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,microbacterium luticocti,36.0,False
1514,RS_GCF_000423345.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Marinimicrobium,marinimicrobium agarilyticum,35.0,False
1515,RS_GCF_000423885.1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,thermomonas fusca,32.5,False
1516,RS_GCF_000427295.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,cyclobacterium qasimii,22.0,False
1517,RS_GCF_000473165.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera,leisingera aquimarina,20.0,False
1518,RS_GCF_000503895.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,hyphomicrobium nitrativorans,31.875,True
1519,RS_GCF_000508165.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,marinomonas profundimaris,26.5,False
1520,RS_GCF_000520555.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter_D,arthrobacter_d sp000520555,15.0,True
1521,RS_GCF_000626715.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,aquimarina atlantica,26.5,False
1522,RS_GCF_000682755.1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,hyphomonas beringensis,27.5,False
1523,RS_GCF_000702485.1,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_H,alicyclobacillus_h macrosporangiidus_b,52.5,True
1524,RS_GCF_000708615.2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,chryseobacterium hispalense,26.875,False
1525,RS_GCF_000710775.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Endozoicomonadaceae,Endozoicomonas,endozoicomonas elysicola,25.5,False
1526,RS_GCF_000732635.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_J,clostridium_j sulfidigenes,34.0,True
1527,RS_GCF_000816145.1,Bacteria,Thermotogota,Thermotogae,Thermotogales,DSM-5069,Pseudothermotoga_A,pseudothermotoga_a hypogea,70.0,True
1528,RS_GCF_000962825.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,actinoplanes rectilineatus,25.5,False
1529,RS_GCF_000975115.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Demequinaceae,Demequina,demequina oxidasica,29.0,False
1530,RS_GCF_001020205.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_F,clostridium_f sporogenes,36.6,True
1531,RS_GCF_001049735.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nereida,nereida ignava,20.5,True
1532,RS_GCF_001187845.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,octadecabacter temperatus,20.0,True
